pdf_name,page_num,doc_type
LOG_1055843.pdf,19,Tactical Reponse Report
LOG_1055843.pdf,14,ARREST Report
LOG_1055843.pdf,22,
LOG_1055843.pdf,6,Tactical Reponse Report
LOG_1055843.pdf,42,Notice of Alcohol And Drug Testing Following A Firearms Discharge Incident
LOG_1055843.pdf,21,
LOG_1055843.pdf,45,
LOG_1055843.pdf,41,
LOG_1055843.pdf,35,
LOG_1055843.pdf,33,Random Drug Testing Unit Alternate Collection Receipt
LOG_1055843.pdf,26,Random Drug Testing Unit Alternate Collection Receipt
LOG_1055843.pdf,47,
LOG_1055843.pdf,10,
LOG_1055843.pdf,27,
LOG_1055843.pdf,23,Drug Test Specimen Affidavit
LOG_1055843.pdf,13,ARREST Report
LOG_1055843.pdf,18,
LOG_1055843.pdf,46,Random Drug Testing Unit Alternate Collection Receipt
LOG_1055843.pdf,40,
LOG_1055843.pdf,8,Tactical Reponse Report
LOG_1055843.pdf,3,Summary Report
LOG_1055843.pdf,7,Watch Commander/OCIC Review
LOG_1055843.pdf,43,
LOG_1055843.pdf,38,Notice of Alcohol And Drug Testing Following A Firearms Discharge Incident
LOG_1055843.pdf,2,Summary Report
LOG_1055843.pdf,5,
LOG_1055843.pdf,25,Notice of Alcohol And Drug Testing Following A Firearms Discharge Incident
LOG_1055843.pdf,34,Allegation Email
LOG_1055843.pdf,1,Log Summary Report
LOG_1055843.pdf,12,ARREST Report
LOG_1055843.pdf,30,Drug Test Specimen Affidavit
LOG_1055843.pdf,32,
LOG_1055843.pdf,17,Case Supplementary Report
LOG_1055843.pdf,11,ARREST Report
LOG_1055843.pdf,24,
LOG_1055843.pdf,28,Notice of Alcohol And Drug Testing Following A Firearms Discharge Incident
LOG_1055843.pdf,29,
LOG_1055843.pdf,9,Watch Commander/OCIC Review
LOG_1055843.pdf,16,Incident Report
LOG_1055843.pdf,20,Watch Commander/OCIC Review
CPD 0032914.pdf,1,Tactical Reponse Report
CPD 0032914.pdf,2,Watch Commander/OCIC Review
LOG_1057006.pdf,1,Log Summary Report
LOG_1057006.pdf,2,Summary Report
LOG_1057006.pdf,4,Face Sheet
LOG_1057006.pdf,3,Summary Report
LOG_1056061.pdf,4,Face Sheet
LOG_1056061.pdf,3,Summary Report
LOG_1056061.pdf,5,
LOG_1056061.pdf,1,Log Summary Report
LOG_1056061.pdf,2,Summary Report
CPD 0039145.pdf,2,Summary Report
CPD 0039145.pdf,3,
CPD 0039145.pdf,1,Log Summary Report
CPD 0019576.pdf,2,
CPD 0019576.pdf,1,Face Sheet
CPD 0039409.pdf,2,Incident Report
CPD 0039409.pdf,1,
CPD 0043997.pdf,2,Summary Report
CPD 0043997.pdf,1,Log Summary Report
CPD 0001927.pdf,4,A&A Sheet
CPD 0001927.pdf,5,A&A Sheet
CPD 0001927.pdf,3,A&A Sheet
CPD 0001927.pdf,1,A&A Sheet
CPD 0001927.pdf,6,
CPD 0001927.pdf,2,A&A Sheet
CPD 0053042.pdf,1,Face Sheet
CPD 0053042.pdf,2,
LOG_1051778.pdf,3,Summary Report
LOG_1051778.pdf,6,Watch Commander/OCIC Review
LOG_1051778.pdf,9,
LOG_1051778.pdf,5,Tactical Reponse Report
LOG_1051778.pdf,12,email
LOG_1051778.pdf,11,
LOG_1051778.pdf,1,Log Summary Report
LOG_1051778.pdf,8,TASER Report
LOG_1051778.pdf,10,
LOG_1051778.pdf,2,Summary Report
LOG_1051778.pdf,4,Face Sheet
LOG_1051778.pdf,7,TASER Report
CPD 0014950.pdf,1,Event Query
CPD 0023539.pdf,1,Face Sheet
CPD 0023539.pdf,2,
LOG_1058530.pdf,3,Summary Report
LOG_1058530.pdf,1,Log Summary Report
LOG_1058530.pdf,5,Log Summary Report
LOG_1058530.pdf,7,
LOG_1058530.pdf,8,Event History Table
LOG_1058530.pdf,2,Summary Report
LOG_1058530.pdf,6,Event History Table
LOG_1058530.pdf,4,Face Sheet
CPD 0000352.pdf,1,Event Query
CPD 0049084.pdf,2,Incident Report
CPD 0049084.pdf,1,Face Sheet
CPD 0054610.pdf,2,Summary Report
CPD 0054610.pdf,3,
CPD 0054610.pdf,1,Log Summary Report
CPD 0034689.pdf,1,Log Summary Report
CPD 0034689.pdf,2,Summary Report
CPD 0034689.pdf,3,
CPD 0044944.pdf,2,
CPD 0044944.pdf,1,Face Sheet
CPD 0031342.pdf,3,
CPD 0031342.pdf,1,Log Summary Report
CPD 0031342.pdf,2,Summary Report
CPD 0045925.pdf,1,Tactical Reponse Report
CPD 0045925.pdf,2,Watch Commander/OCIC Review
CPD 0011368.pdf,1,
CPD 0011368.pdf,2,
CPD 0048441.pdf,2,
CPD 0048441.pdf,1,Face Sheet
CPD 0025128.pdf,2,
CPD 0025128.pdf,1,Face Sheet
CPD 0021899.pdf,1,Face Sheet
CPD 0021899.pdf,2,
CPD 0030273.pdf,1,Face Sheet
CPD 0000010.pdf,1,Face Sheet
LOG_1059214.pdf,1,Log Summary Report
LOG_1059214.pdf,2,Summary Report
LOG_1059214.pdf,5,
LOG_1059214.pdf,3,Summary Report
LOG_1059214.pdf,4,Face Sheet
CPD 0047384.pdf,1,Face Sheet
LOG_1057141.pdf,2,Summary Report
LOG_1057141.pdf,3,Summary Report
LOG_1057141.pdf,5,
LOG_1057141.pdf,1,Log Summary Report
LOG_1057141.pdf,4,Face Sheet
CPD 0044218.pdf,1,Face Sheet
CPD 0044218.pdf,2,Incident Report
CPD 0049032.pdf,4,ARREST Report
CPD 0049032.pdf,5,ARREST Report
CPD 0049032.pdf,1,
CPD 0049032.pdf,2,
CPD 0049032.pdf,3,ARREST Report
CPD 0040304.pdf,3,
CPD 0040304.pdf,2,
CPD 0040304.pdf,1,TASER Report
CPD 0021563.pdf,1,
CPD 0021563.pdf,2,
CPD 0050312.pdf,3,
CPD 0050312.pdf,1,Log Summary Report
CPD 0050312.pdf,2,Summary Report
CPD 0030618.pdf,1,Log Summary Report
CPD 0030618.pdf,2,Summary Report
CPD 0030618.pdf,3,
CPD 0042057.pdf,2,Summary Report
CPD 0042057.pdf,1,Log Summary Report
CPD 0042057.pdf,3,
LOG_1058079.pdf,1,Log Summary Report
LOG_1058079.pdf,4,Face Sheet
LOG_1058079.pdf,5,
LOG_1058079.pdf,3,
LOG_1058079.pdf,2,Summary Report
CPD 0001019.pdf,1,Face Sheet
CPD 0001019.pdf,2,Incident Report
CPD 0001019.pdf,3,Incident Report
CPD 0042164.pdf,3,Event History Table
CPD 0042164.pdf,2,
CPD 0042164.pdf,4,
CPD 0042164.pdf,1,Event History Table
LOG_1057946.pdf,6,
LOG_1057946.pdf,26,
LOG_1057946.pdf,38,Certified Mail
LOG_1057946.pdf,41,
LOG_1057946.pdf,27,
LOG_1057946.pdf,18,Watch Commander/OCIC Review
LOG_1057946.pdf,7,Face Sheet
LOG_1057946.pdf,2,Summary Report
LOG_1057946.pdf,15,Tactical Reponse Report
LOG_1057946.pdf,5,Face Sheet
LOG_1057946.pdf,9,
LOG_1057946.pdf,16,Watch Commander/OCIC Review
LOG_1057946.pdf,23,
LOG_1057946.pdf,14,Mugshot(s) for CB
LOG_1057946.pdf,29,
LOG_1057946.pdf,25,
LOG_1057946.pdf,42,
LOG_1057946.pdf,31,
LOG_1057946.pdf,36,
LOG_1057946.pdf,1,Log Summary Report
LOG_1057946.pdf,39,
LOG_1057946.pdf,19,Event Query
LOG_1057946.pdf,4,
LOG_1057946.pdf,20,
LOG_1057946.pdf,8,Incident Report
LOG_1057946.pdf,3,
LOG_1057946.pdf,10,
LOG_1057946.pdf,33,
LOG_1057946.pdf,37,
LOG_1057946.pdf,35,
LOG_1057946.pdf,30,
LOG_1057946.pdf,40,Investigator's Case Log
LOG_1057946.pdf,21,Event Query
LOG_1057946.pdf,11,ARREST Report
LOG_1057946.pdf,28,
LOG_1057946.pdf,12,ARREST Report
LOG_1057946.pdf,13,ARREST Report
LOG_1057946.pdf,22,Narcotic & Gang Investigation Supplementary Report
LOG_1057946.pdf,32,
LOG_1057946.pdf,24,
LOG_1057946.pdf,34,
LOG_1057946.pdf,17,Tactical Reponse Report
CPD 0009427.pdf,2,
CPD 0009427.pdf,1,Allegation Email
CPD 0018389.pdf,2,Summary Report
CPD 0018389.pdf,1,Log Summary Report
CPD 0018389.pdf,3,
CPD 0041329.pdf,1,Face Sheet
CPD 0041329.pdf,2,
LOG_1060375.pdf,4,Face Sheet
LOG_1060375.pdf,3,Summary Report
LOG_1060375.pdf,2,Summary Report
LOG_1060375.pdf,1,Log Summary Report
LOG_1060375.pdf,5,
CPD 0033165.pdf,3,Summary Report
CPD 0033165.pdf,2,Summary Report
CPD 0033165.pdf,1,Log Summary Report
LOG_1055301.pdf,15,Mugshot(s) for CB
LOG_1055301.pdf,23,
LOG_1055301.pdf,1,Log Summary Report
LOG_1055301.pdf,28,
LOG_1055301.pdf,5,Face Sheet
LOG_1055301.pdf,30,
LOG_1055301.pdf,20,
LOG_1055301.pdf,36,Investigator's Case Log
LOG_1055301.pdf,29,
LOG_1055301.pdf,25,
LOG_1055301.pdf,33,
LOG_1055301.pdf,34,
LOG_1055301.pdf,4,
LOG_1055301.pdf,11,ARREST Report
LOG_1055301.pdf,10,
LOG_1055301.pdf,2,Summary Report
LOG_1055301.pdf,16,
LOG_1055301.pdf,17,Incident Report
LOG_1055301.pdf,13,ARREST Report
LOG_1055301.pdf,26,
LOG_1055301.pdf,8,WEB Complaint Detail
LOG_1055301.pdf,12,
LOG_1055301.pdf,24,
LOG_1055301.pdf,14,ARREST Report
LOG_1055301.pdf,37,Investigator's Case Log
LOG_1055301.pdf,18,
LOG_1055301.pdf,35,Narcotic & Gang Investigation Supplementary Report
LOG_1055301.pdf,19,
LOG_1055301.pdf,9,WEB Complaint Detail
LOG_1055301.pdf,22,
LOG_1055301.pdf,27,
LOG_1055301.pdf,31,
LOG_1055301.pdf,32,
LOG_1055301.pdf,6,
LOG_1055301.pdf,7,WEB Complaint Detail
LOG_1055301.pdf,3,
LOG_1055301.pdf,21,
LOG_1060766.pdf,6,
LOG_1060766.pdf,3,Summary Report
LOG_1060766.pdf,7,
LOG_1060766.pdf,2,Summary Report
LOG_1060766.pdf,4,Face Sheet
LOG_1060766.pdf,9,
LOG_1060766.pdf,1,Log Summary Report
LOG_1060766.pdf,8,
LOG_1060766.pdf,5,
CPD 0042241.pdf,2,Summary Report
CPD 0042241.pdf,3,Summary Report
CPD 0042241.pdf,1,Log Summary Report
CPD 0036495.pdf,3,Incident Report
CPD 0036495.pdf,1,Face Sheet
CPD 0036495.pdf,2,Incident Report
CPD 0042560.pdf,2,Summary Report
CPD 0042560.pdf,1,Log Summary Report
CPD 0042560.pdf,3,Summary Report
LOG_1057940.pdf,4,Face Sheet
LOG_1057940.pdf,1,Log Summary Report
LOG_1057940.pdf,7,WEB Complaint Detail
LOG_1057940.pdf,8,WEB Complaint Detail
LOG_1057940.pdf,2,Summary Report
LOG_1057940.pdf,6,WEB Complaint Detail
LOG_1057940.pdf,5,
LOG_1057940.pdf,3,Summary Report
CPD 0003815.pdf,1,
CPD 0003815.pdf,2,
CPD 0003815.pdf,4,
CPD 0003815.pdf,3,
CPD 0026045.pdf,5,
CPD 0026045.pdf,1,Allegation Email
CPD 0026045.pdf,6,
CPD 0026045.pdf,3,
CPD 0026045.pdf,2,Summary Report Digest
CPD 0026045.pdf,7,
CPD 0026045.pdf,4,
CPD 0045220.pdf,1,Tactical Reponse Report
CPD 0045220.pdf,2,Watch Commander/OCIC Review
CPD 0017356.pdf,1,Log Summary Report
CPD 0017356.pdf,2,Summary Report
LOG_1060290.pdf,4,Face Sheet
LOG_1060290.pdf,8,Event History Table
LOG_1060290.pdf,3,Summary Report
LOG_1060290.pdf,1,Log Summary Report
LOG_1060290.pdf,6,Event History Table
LOG_1060290.pdf,5,
LOG_1060290.pdf,7,
LOG_1060290.pdf,2,Summary Report
LOG_1059525.pdf,5,
LOG_1059525.pdf,1,Log Summary Report
LOG_1059525.pdf,4,Face Sheet
LOG_1059525.pdf,2,Summary Report
LOG_1059525.pdf,3,
CPD 0007144.pdf,3,
CPD 0007144.pdf,8,
CPD 0007144.pdf,5,
CPD 0007144.pdf,9,
CPD 0007144.pdf,1,
CPD 0007144.pdf,7,
CPD 0007144.pdf,4,OEMC GPS Map
CPD 0007144.pdf,2,
CPD 0007144.pdf,6,OEMC GPS Map
CPD 0041197.pdf,1,TASER Report
CPD 0049266.pdf,2,
CPD 0049266.pdf,1,Face Sheet
CPD 0033750.pdf,2,
CPD 0033750.pdf,1,Face Sheet
CPD 0020040.pdf,1,Sworn Affidavit
CPD 0004291.pdf,2,Summary Report
CPD 0004291.pdf,1,Log Summary Report
CPD 0004291.pdf,3,
CPD 0031644.pdf,4,Summary Report
CPD 0031644.pdf,2,Summary Report
CPD 0031644.pdf,3,Summary Report
CPD 0031644.pdf,1,Log Summary Report
CPD 0031644.pdf,5,
CPD 0031644.pdf,6,Summary Report
CPD 0022534.pdf,2,Summary Report
CPD 0022534.pdf,3,Summary Report
CPD 0022534.pdf,1,Log Summary Report
CPD 0023516.pdf,1,Log Summary Report
CPD 0023516.pdf,3,
CPD 0023516.pdf,2,Summary Report
LOG_1052155.pdf,35,
LOG_1052155.pdf,37,
LOG_1052155.pdf,67,
LOG_1052155.pdf,17,
LOG_1052155.pdf,32,CPD Webmail Email
LOG_1052155.pdf,64,CPD-44.115
LOG_1052155.pdf,41,
LOG_1052155.pdf,59,
LOG_1052155.pdf,53,
LOG_1052155.pdf,47,
LOG_1052155.pdf,1,Log Summary Report
LOG_1052155.pdf,69,
LOG_1052155.pdf,52,
LOG_1052155.pdf,10,email
LOG_1052155.pdf,20,
LOG_1052155.pdf,36,
LOG_1052155.pdf,26,
LOG_1052155.pdf,68,
LOG_1052155.pdf,9,
LOG_1052155.pdf,33,CPD Webmail Email
LOG_1052155.pdf,46,Allegation Email
LOG_1052155.pdf,16,
LOG_1052155.pdf,62,Request to Bypass Command Channel Review
LOG_1052155.pdf,28,
LOG_1052155.pdf,31,
LOG_1052155.pdf,5,Face Sheet
LOG_1052155.pdf,34,CPD Webmail Email
LOG_1052155.pdf,11,
LOG_1052155.pdf,54,
LOG_1052155.pdf,21,
LOG_1052155.pdf,65,
LOG_1052155.pdf,44,
LOG_1052155.pdf,48,
LOG_1052155.pdf,39,
LOG_1052155.pdf,57,
LOG_1052155.pdf,19,
LOG_1052155.pdf,51,
LOG_1052155.pdf,30,
LOG_1052155.pdf,12,
LOG_1052155.pdf,18,CPD Webmail Email
LOG_1052155.pdf,15,
LOG_1052155.pdf,70,
LOG_1052155.pdf,24,
LOG_1052155.pdf,42,
LOG_1052155.pdf,61,
LOG_1052155.pdf,58,
LOG_1052155.pdf,50,
LOG_1052155.pdf,43,
LOG_1052155.pdf,27,
LOG_1052155.pdf,63,Allegation Email
LOG_1052155.pdf,13,
LOG_1052155.pdf,45,
LOG_1052155.pdf,49,
LOG_1052155.pdf,25,
LOG_1052155.pdf,2,Summary Report
LOG_1052155.pdf,60,
LOG_1052155.pdf,40,
LOG_1052155.pdf,7,
LOG_1052155.pdf,6,
LOG_1052155.pdf,14,
LOG_1052155.pdf,55,
LOG_1052155.pdf,3,Summary Report
LOG_1052155.pdf,22,Allegation Email
LOG_1052155.pdf,23,
LOG_1052155.pdf,66,
LOG_1052155.pdf,4,
LOG_1052155.pdf,8,
LOG_1052155.pdf,38,
LOG_1052155.pdf,56,
LOG_1052155.pdf,29,CPD Webmail Email
CPD 0053240.pdf,2,
CPD 0053240.pdf,1,
LOG_1058230.pdf,5,
LOG_1058230.pdf,9,ARREST Report
LOG_1058230.pdf,2,Summary Report
LOG_1058230.pdf,7,ARREST Report
LOG_1058230.pdf,6,
LOG_1058230.pdf,4,Face Sheet
LOG_1058230.pdf,10,ARREST Report
LOG_1058230.pdf,8,ARREST Report
LOG_1058230.pdf,3,Summary Report
LOG_1058230.pdf,1,Log Summary Report
CPD 0009507.pdf,1,
LOG_1059998.pdf,5,
LOG_1059998.pdf,4,Face Sheet
LOG_1059998.pdf,2,Summary Report
LOG_1059998.pdf,3,
LOG_1059998.pdf,1,Log Summary Report
CPD 0027083.pdf,1,Face Sheet
CPD 0027083.pdf,2,
CPD 0022326.pdf,2,Summary Report
CPD 0022326.pdf,1,Log Summary Report
CPD 0022326.pdf,3,Summary Report
CPD 0033868.pdf,3,ARREST Report
CPD 0033868.pdf,1,
CPD 0033868.pdf,5,ARREST Report
CPD 0033868.pdf,2,
CPD 0033868.pdf,4,ARREST Report
CPD 0015324.pdf,1,Complaint Log Investigation
CPD 0029595.pdf,2,Summary Report
CPD 0029595.pdf,1,Log Summary Report
CPD 0041652.pdf,2,Summary Report
CPD 0041652.pdf,3,Summary Report
CPD 0041652.pdf,1,Log Summary Report
CPD 0037111.pdf,1,
LOG_1074101.pdf,1,Log Summary Report
LOG_1074101.pdf,18,
LOG_1074101.pdf,28,Random Drug Testing Unit Alternate Collection Receipt
LOG_1074101.pdf,27,Notice of Alcohol And Drug Testing Following A Firearms Discharge Incident
LOG_1074101.pdf,6,CPD-11.451
LOG_1074101.pdf,5,Officer's Battery Report
LOG_1074101.pdf,3,
LOG_1074101.pdf,13,
LOG_1074101.pdf,14,Notice of Alcohol And Drug Testing Following A Firearms Discharge Incident
LOG_1074101.pdf,24,
LOG_1074101.pdf,4,Face Sheet
LOG_1074101.pdf,20,
LOG_1074101.pdf,16,Drug Test Specimen Affidavit
LOG_1074101.pdf,19,
LOG_1074101.pdf,25,
LOG_1074101.pdf,23,
LOG_1074101.pdf,11,
LOG_1074101.pdf,29,
LOG_1074101.pdf,7,Tactical Reponse Report
LOG_1074101.pdf,15,Drug Test Specimen Affidavit
LOG_1074101.pdf,22,
LOG_1074101.pdf,12,
LOG_1074101.pdf,8,
LOG_1074101.pdf,26,Drug Test Specimen Affidavit
LOG_1074101.pdf,17,Random Drug Testing Unit Alternate Collection Receipt
LOG_1074101.pdf,9,Face Sheet
LOG_1074101.pdf,10,Incident Report
LOG_1074101.pdf,2,Summary Report
LOG_1074101.pdf,30,
LOG_1074101.pdf,21,
CPD 0010434.pdf,1,Sworn Affidavit
CPD 0046582.pdf,1,Face Sheet
CPD 0046582.pdf,2,
CPD 0011834.pdf,2,
CPD 0011834.pdf,1,Face Sheet
CPD 0040215.pdf,3,
CPD 0040215.pdf,5,ARREST Report
CPD 0040215.pdf,2,ARREST Report
CPD 0040215.pdf,4,ARREST Report
CPD 0040215.pdf,1,
CPD 0006741.pdf,1,Allegation Email
CPD 0002405.pdf,1,Waiver of Counsel/Request
CPD 0033195.pdf,2,Watch Commander/OCIC Review
CPD 0033195.pdf,1,Tactical Reponse Report
CPD 0009521.pdf,3,Summary Report
CPD 0009521.pdf,1,Log Summary Report
CPD 0009521.pdf,2,Summary Report
LOG_1061962.pdf,8,
LOG_1061962.pdf,1,Log Summary Report
LOG_1061962.pdf,3,Summary Report
LOG_1061962.pdf,6,Allegation Email
LOG_1061962.pdf,4,Face Sheet
LOG_1061962.pdf,10,
LOG_1061962.pdf,2,Summary Report
LOG_1061962.pdf,9,
LOG_1061962.pdf,7,Allegation Email
LOG_1061962.pdf,11,
LOG_1061962.pdf,5,
CPD 0029116.pdf,2,Watch Commander/OCIC Review
CPD 0029116.pdf,1,Tactical Reponse Report
LOG_1060787.pdf,1,Log Summary Report
LOG_1060787.pdf,3,Log Summary Report
LOG_1060787.pdf,2,Summary Report
LOG_1060787.pdf,5,Log Summary Report
LOG_1060787.pdf,4,Face Sheet
CPD 0024563.pdf,2,
CPD 0024563.pdf,1,Face Sheet
CPD 0048376.pdf,1,Log Summary Report
CPD 0048376.pdf,3,Summary Report
CPD 0048376.pdf,2,Summary Report
CPD 0054699.pdf,1,Log Summary Report
CPD 0054699.pdf,2,Summary Report
LOG_1061295.pdf,6,
LOG_1061295.pdf,4,Face Sheet
LOG_1061295.pdf,2,Summary Report
LOG_1061295.pdf,3,Summary Report
LOG_1061295.pdf,5,
LOG_1061295.pdf,1,Log Summary Report
LOG_1061295.pdf,7,
CPD 0017837.pdf,1,Allegation Email
CPD 0053495.pdf,1,Face Sheet
CPD 0053495.pdf,2,Summary Report
LOG_1051501.pdf,2,Summary Report
LOG_1051501.pdf,38,
LOG_1051501.pdf,3,
LOG_1051501.pdf,20,Incident Report
LOG_1051501.pdf,42,Criminal History Report
LOG_1051501.pdf,48,Allegation Email
LOG_1051501.pdf,47,Criminal History Report
LOG_1051501.pdf,16,
LOG_1051501.pdf,45,Criminal History Report
LOG_1051501.pdf,15,CPD-41.703
LOG_1051501.pdf,11,Allegation Email
LOG_1051501.pdf,12,USPS.com Tracking
LOG_1051501.pdf,40,Criminal History Report
LOG_1051501.pdf,31,
LOG_1051501.pdf,33,
LOG_1051501.pdf,22,ARREST Report
LOG_1051501.pdf,9,
LOG_1051501.pdf,28,
LOG_1051501.pdf,21,
LOG_1051501.pdf,6,Sworn Affidavit
LOG_1051501.pdf,19,Incident Report
LOG_1051501.pdf,46,Criminal History Report
LOG_1051501.pdf,29,
LOG_1051501.pdf,30,
LOG_1051501.pdf,43,Criminal History Report
LOG_1051501.pdf,41,Criminal History Report
LOG_1051501.pdf,24,ARREST Report
LOG_1051501.pdf,51,
LOG_1051501.pdf,7,Allegation Email
LOG_1051501.pdf,37,Criminal History Report
LOG_1051501.pdf,4,Face Sheet
LOG_1051501.pdf,8,
LOG_1051501.pdf,13,
LOG_1051501.pdf,36,Criminal History Report
LOG_1051501.pdf,32,
LOG_1051501.pdf,25,ARREST Report
LOG_1051501.pdf,35,
LOG_1051501.pdf,10,
LOG_1051501.pdf,1,Log Summary Report
LOG_1051501.pdf,44,Criminal History Report
LOG_1051501.pdf,34,
LOG_1051501.pdf,17,
LOG_1051501.pdf,18,Face Sheet
LOG_1051501.pdf,27,
LOG_1051501.pdf,49,Summary Report Digest
LOG_1051501.pdf,14,Search Warrant Data
LOG_1051501.pdf,26,
LOG_1051501.pdf,23,ARREST Report
LOG_1051501.pdf,50,
LOG_1051501.pdf,39,Criminal History Report
LOG_1051501.pdf,5,
CPD 0040465.pdf,1,
CPD 0022644.pdf,1,Face Sheet
CPD 0022644.pdf,2,Incident Report
LOG_1057689.pdf,5,
LOG_1057689.pdf,3,Summary Report
LOG_1057689.pdf,2,Summary Report
LOG_1057689.pdf,4,Face Sheet
LOG_1057689.pdf,1,Log Summary Report
LOG_1059307.pdf,1,Log Summary Report
LOG_1059307.pdf,5,
LOG_1059307.pdf,4,Face Sheet
LOG_1059307.pdf,3,Summary Report
LOG_1059307.pdf,2,Summary Report
CPD 0030133.pdf,1,Event Query
CPD 0042773.pdf,1,Tactical Reponse Report
CPD 0042773.pdf,2,Watch Commander/OCIC Review
CPD 0042385.pdf,1,
CPD 0024656.pdf,1,Tactical Reponse Report
CPD 0024656.pdf,2,Watch Commander/OCIC Review
CPD 0038479.pdf,6,Event History Table
CPD 0038479.pdf,7,
CPD 0038479.pdf,4,Event History Table
CPD 0038479.pdf,3,Event History Table
CPD 0038479.pdf,1,Event History Table
CPD 0038479.pdf,2,Event History Table
CPD 0038479.pdf,5,
LOG_1058057.pdf,3,
LOG_1058057.pdf,2,Summary Report
LOG_1058057.pdf,5,
LOG_1058057.pdf,1,Log Summary Report
LOG_1058057.pdf,4,Face Sheet
CPD 0021920.pdf,2,Summary Report
CPD 0021920.pdf,1,Log Summary Report
LOG_1058455.pdf,5,
LOG_1058455.pdf,2,Summary Report
LOG_1058455.pdf,4,Face Sheet
LOG_1058455.pdf,1,Log Summary Report
LOG_1058455.pdf,3,Summary Report
LOG_1058455.pdf,6,
CPD 0027612.pdf,1,
LOG_1056727.pdf,5,
LOG_1056727.pdf,4,Face Sheet
LOG_1056727.pdf,1,Log Summary Report
LOG_1056727.pdf,3,
LOG_1056727.pdf,2,Summary Report
CPD 0015006.pdf,2,Summary Report Digest
CPD 0015006.pdf,1,Allegation Email
CPD 0015006.pdf,4,
CPD 0015006.pdf,3,
CPD 0014036.pdf,7,
CPD 0014036.pdf,15,
CPD 0014036.pdf,13,
CPD 0014036.pdf,6,
CPD 0014036.pdf,18,
CPD 0014036.pdf,24,
CPD 0014036.pdf,25,
CPD 0014036.pdf,12,
CPD 0014036.pdf,3,
CPD 0014036.pdf,11,
CPD 0014036.pdf,17,
CPD 0014036.pdf,4,
CPD 0014036.pdf,14,
CPD 0014036.pdf,23,
CPD 0014036.pdf,22,
CPD 0014036.pdf,5,
CPD 0014036.pdf,2,Authorization for Release
CPD 0014036.pdf,8,
CPD 0014036.pdf,10,
CPD 0014036.pdf,1,
CPD 0014036.pdf,20,
CPD 0014036.pdf,16,
CPD 0014036.pdf,19,
CPD 0014036.pdf,9,
CPD 0014036.pdf,21,
CPD 0043490.pdf,1,Face Sheet
CPD 0043490.pdf,2,
LOG_1060461.pdf,3,Summary Report
